,labels,loss,correct_prediction,predictions,dataset
0,0,0.23500001,True,-1.3283695,b
1,0,0.35695046,True,-0.8463796,b
2,0,1.0811762,False,0.6668777,b
3,0,0.25776935,True,-1.2240384,b
4,1,0.4771996,True,0.4917503,b
5,0,0.5275797,True,-0.36409461,b
6,0,0.38275954,True,-0.76287156,b
7,0,0.06766215,True,-2.6592057,b
8,0,0.3184402,True,-0.9808789,b
9,1,0.68974423,True,0.0068175048,b
10,1,1.7621946,False,-1.5738537,b
11,0,0.52919364,True,-0.36016244,b
12,1,0.45981368,True,0.5382329,b
13,0,0.35327107,True,-0.8586896,b
14,0,0.10217256,True,-2.2295713,b
15,0,0.18738489,True,-1.5794357,b
16,0,0.2776828,True,-1.1392235,b
17,0,0.19005522,True,-1.5639085,b
18,0,0.08046312,True,-2.4794557,b
19,1,0.84671295,False,-0.2866583,b
20,0,0.46939632,True,-0.5124459,b
21,1,1.3840251,False,-1.0955853,b
22,0,0.35213915,True,-0.86249787,b
23,1,0.86486447,False,-0.31822413,b
24,0,0.40311208,True,-0.7002229,b
25,0,0.5830072,True,-0.23392968,b
26,1,0.34530795,True,0.88570154,b
27,0,0.50690395,True,-0.41529834,b
28,0,0.41333234,True,-0.66972876,b
29,1,1.8048372,False,-1.6251109,b
30,1,1.3030518,False,-0.98600775,b
31,0,0.3131604,True,-1.0003767,b
0,0,0.34444636,True,-0.888655,b
1,1,0.28802913,True,1.0972248,b
2,0,0.082463644,True,-2.4538827,b
3,1,0.45207673,True,0.5593637,b
4,0,0.14544426,True,-1.8543587,b
5,1,0.27422464,True,1.1535642,b
6,0,0.639236,True,-0.1108952,b
7,0,0.49320602,True,-0.4501102,b
8,1,0.390898,True,0.7375011,b
9,1,0.32403076,True,0.96053046,b
10,1,0.39089793,True,0.73750114,b
11,0,0.4380783,True,-0.59833497,b
12,0,0.5782505,True,-0.2447292,b
13,0,0.20845984,True,-1.4619691,b
14,1,0.31468275,True,0.9947264,b
15,0,0.69590074,False,0.0054995865,b
16,1,0.91394585,False,-0.401554,b
17,1,0.55521894,True,0.2979715,b
18,0,0.9336889,False,0.43429607,b
19,0,0.5438786,True,-0.32479495,b
20,1,0.7237577,False,-0.06031175,b
21,1,1.8047286,False,-1.6249809,b
22,1,0.6089019,True,0.17624618,b
23,0,0.056211054,True,-2.8504047,b
0,1,1.9511228,False,-1.7978382,c
1,1,0.39089793,True,0.73750114,c
2,1,1.5759846,False,-1.3442999,c
3,1,0.37328202,True,0.79298085,c
4,1,0.71059436,False,-0.034595177,c
5,1,0.4780245,True,0.489578,c
6,0,0.21889776,True,-1.407706,c
7,0,0.16494505,True,-1.718537,c
8,0,0.17106453,True,-1.6789634,c
9,1,1.4125214,False,-1.133431,c
10,0,0.08108867,True,-2.4713936,c
11,0,0.1723028,True,-1.671114,c
12,0,0.23677145,True,-1.3199395,c
13,1,1.2991349,False,-0.98062557,c
14,0,0.60178494,True,-0.19191854,c
15,0,0.80911195,False,0.21986821,c
16,0,0.23684181,True,-1.3196056,c
17,1,0.31468275,True,0.9947264,c
18,1,0.39321014,True,0.730372,c
19,0,0.08782736,True,-2.388147,c
20,0,0.46570578,True,-0.5223277,c
21,1,0.8870677,False,-0.35627455,c
22,0,1.1111335,False,0.7118706,c
23,0,0.37601653,True,-0.7842298,c
24,1,0.6905455,True,0.0052101165,c
25,0,0.26825184,True,-1.1787066,c
26,0,0.0401258,True,-3.1956046,c
27,0,0.2594419,True,-1.2166984,c
28,1,0.30743712,True,1.0218312,c
29,0,0.34424764,True,-0.88933736,c
30,1,0.6485622,True,0.09125091,c
31,1,0.50652504,True,0.41625154,c
0,0,0.06331306,True,-2.7278395,c
1,1,3.0275986,False,-2.9779549,c
2,0,0.089676574,True,-2.3663726,c
3,0,0.21518598,True,-1.4267309,c
4,0,0.273692,True,-1.1557866,c
5,0,0.546959,True,-0.31746775,c
6,0,0.29198536,True,-1.0815089,c
7,1,1.3320532,False,-1.0256165,c
8,0,0.39116406,True,-0.73667896,c
9,1,0.32058993,True,0.9730187,c
10,0,0.22461571,True,-1.3789554,c
11,1,0.32058993,True,0.97301865,c
12,0,0.13116272,True,-1.9650183,c
13,0,1.0114405,False,0.5593637,c
14,1,0.4971387,True,0.4400403,c
15,1,0.90342075,False,-0.38392228,c
16,0,0.47369745,True,-0.50100553,c
17,0,0.71064496,False,0.034694597,c
18,0,0.2990162,True,-1.0540266,c
19,0,1.2936087,False,0.97301877,c
20,1,0.41844535,True,0.65470105,c
21,0,0.11261169,True,-2.126976,c
22,0,0.1620341,True,-1.7378377,c
23,1,0.31468275,True,0.9947264,c
